date;vlr_investido;vlr_mercado;fluxo_mes;fluxo_acc;lucro_mes;twr_mes;twr_acc
31/08/2023;3158,7400000000002;3186,4;3158,7400000000002;3158,7400000000002;27,659999999999854;0,008756656;0,008756656
30/09/2023;3158,7400000000002;3333,3999999999996;0;3158,7400000000002;146,99999999999955;0,046133568;0,0552942
31/10/2023;3158,7400000000002;2996;0;3158,7400000000002;-337,4;-0,101217976;-0,051520543
30/11/2023;3158,7400000000002;3159,8;-28,33;3130,4100000000003;192,13000000000017;0,064128838;0,009304343
31/12/2023;4457,52;4444;1298,7800000000002;4429,1900000000005;-14,58;-0,003270099;0,006003817
31/01/2024;4457,52;4258;0;4429,1900000000005;-186;-0,041854185;-0,036101653
29/02/2024;4457,52;4514;-61,15;4368,040000000001;317,15;0,074483326;0,035692701
31/03/2024;4457,52;5052;0;4368,040000000001;538;0,11918475852902088;0,1591314858457369
30/04/2024;4457,52;4608;0;4368,040000000001;-444;-0,087885986;0,057260072600387124
31/05/2024;4742,320000000001;4470,4;-59,7;4308,340000000001;-77,9;-0,016905382;0,039386687
30/06/2024;4742,320000000001;4716,8;0;4308,340000000001;246,40000000000055;0,05511811;0,096675717
31/07/2024;4742,320000000001;4859,8;0;4308,340000000001;143;0,030317164;0,12992381503639372
31/08/2024;4742,320000000001;4749,8;-74,18;4234,160000000001;-35,82;-0,007370674;0,12159551530088963
30/09/2024;4742,320000000001;4595,8;0;4234,160000000001;-154;-0,032422418;0,085230677
31/10/2024;4742,320000000001;4589,2;0;4234,160000000001;-6,6;-0,001436094;0,083672184
30/11/2024;4742,320000000001;4886,2;0;4234,160000000001;297;0,064717162;0,1538043721552922
31/12/2024;4742,320000000001;5104;0;4234,160000000001;217,80000000000018;0,044574516;0,20523464358409638
31/01/2025;4742,320000000001;4936,8;0;4234,160000000001;-167,2;-0,032758621;0,16575281905289319
28/02/2025;4742,320000000001;4349,4;0;4234,160000000001;-587,4;-0,118983957;0,027046935502481828
31/03/2025;4742,320000000001;4105,2;-39,68;4194,4800000000005;-204,52;-0,047022578;-0,021247459
30/04/2025;5107,830000000001;4447,200000000001;365,5100000000002;4559,990000000001;-23,51;-0,005258673;-0,026394398
31/05/2025;5107,830000000001;4394,4;0;4559,990000000001;-52,8;-0,011872639;-0,037953666
30/06/2025;5464,930000000001;4797;357,10000000000036;4917,090000000001;45,5;0,009575923;-0,028741184
31/07/2025;5464,930000000001;4836;0;4917,090000000001;39;0,008130081;-0,020844771
31/08/2025;5464,930000000001;4812,6;0;4917,090000000001;-23,4;-0,00483871;-0,025582619
30/09/2025;5464,930000000001;4690,4;0;4917,090000000001;-122,2;-0,02539168;-0,050324713
31/10/2025;5464,930000000001;4498;0;4917,090000000001;-192,4;-0,041019956;-0,089280351
