Ativo;Retorno Anualizado;Volatilidade;Sharpe;Max Drawdown
IPCA + 6%;0,11434240758074354;0,06349120637705977;34,62580605132797;-0,0019655487785011916
IMID BRL 47.5 + TD 2035 47.5 + BTC 5;0,21438882861803688;0,10769727411918198;0,7264616142134729;-0,21392496798769745
IMID BRL 57 + TD 2035 38 + BTC 5;0,21991971214972383;0,11475651028136291;0,7152616286315822;-0,22556850207540768
IMID BRL 38 + TD 2035 57 + BTC 5;0,20797132386801476;0,10539507758728957;0,7058472411652844;-0,21273591468255837
IMID BRL 70 + TD 2035 25 + BTC 5;0,22604404799612832;0,13064353420848893;0,6685371189996409;-0,26283044876186623
IMID BRL 71.25 + TD 2035 23.75 + BTC 5;0,22654473389888508;0,1324732514035606;0,6631214636212466;-0,26634830634202344
IMID BRL 23.75 + TD 2035 71.25 + BTC 5;0,19669507972042632;0,11134103761244796;0,6162864229582464;-0,21137985559200567
IMID BRL 71.25 + TD 2045 23.75 + BTC 5;0,21262354632566205;0,1366756209350167;0,5893136958200488;-0,27681305065044115
IMID BRL 70 + TD 2045 25 + BTC 5;0,2113251555745319;0,13543985075860127;0,5881170186209042;-0,2739290000173631
IMID BRL 57 + TD 2045 38 + BTC 5;0,19654236298647576;0,12830631562214376;0,5486477371410108;-0,25639669971309753
IMID BRL;0,19749053132043803;0,2095177995827229;0,5436824168326881;-0,32082761662628156
S&P 500 BRL;0,18399915514569765;0,20934908030563473;0,49756268670596293;-0,3073414289848584
IMID BRL 47.5 + TD 2045 47.5 + BTC 5;0,18428480863476238;0,13019977448715744;0,4886989430699072;-0,2658824568403507
IMID BRL 38 + TD 2045 57 + BTC 5;0,17082629859126186;0,13789782315867957;0,4123502352111275;-0,2758253993223183
TD IPCA 2035;0,13491886388656904;0,17766152889623937;0,3055209248372735;-0,2202730948799595
IMID BRL 23.75 + TD 2045 71.25 + BTC 5;0,14844773858990656;0,15831447459536224;0,2950651240950927;-0,29157659572675754
