;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
IMID BRL 71.25 + TD 2035 23.75 + BTC 5;0,009801362780994971;0,2387449063950735;0,34161180220117715;0,2920297797334144;0,37677102650285743;0,4987936179654786;0,2165179586604864;-0,19917525622566012;0,19165667039732748;0,3755764767980283;0,07583499210072886;6,687025889085099
IMID BRL 70 + TD 2035 25 + BTC 5;0,009921960772391714;0,24418438339134818;0,34210775812244276;0,28965374709653324;0,3779431683869292;0,4933055089272744;0,21176836450019;-0,19623908360942233;0,19265814363349953;0,3671759656996223;0,07707296199363212;6,654997581975173
IMID BRL 57 + TD 2035 38 + BTC 5;0,01116912552829219;0,3006760533210169;0,34603950884831436;0,263203258277972;0,3897506373955897;0,4358131084489605;0,1626822006541091;-0,16569369228498987;0,20271460788319473;0,2823018886784747;0,08964036653766305;6,274135524112753
IMID BRL 47.5 + TD 2035 47.5 + BTC 5;0,012072362998057029;0,3417815134300568;0,3474631633920906;0,2419015048194526;0,3979301451351789;0,39341386165276937;0,12720525098323687;-0,1433955239942315;0,20964226646664197;0,22308723505763495;0,09845948116397407;5,946160152105548
IMID BRL 71.25 + TD 2045 23.75 + BTC 5;0,005061406105528077;0,11415108907715843;0,32140139677503465;0,3117933295562718;0,4326766499700756;0,5127614247797769;0,17556878480786553;-0,2161218343576522;0,20864753476900888;0,34570113910224576;0,08970777712714328;5,870849630047873
IMID BRL 70 + TD 2045 25 + BTC 5;0,004932596985340654;0,112967542093376;0,3207034133318687;0,31029148175684407;0,43684601534883183;0,5077052799373121;0,16874745955551917;-0,2141970183884664;0,21050176694299916;0,33585959040696456;0,09164482999739287;5,7976889661217355
IMID BRL 38 + TD 2035 57 + BTC 5;0,012968702235850005;0,382637964388177;0,3476244099959436;0,21897879100945294;0,405722432448671;0,35079503621372465;0,0921004502807583;-0,12115697478979914;0,21620622726346972;0,16617001997499337;0,10695937951083989;5,583142113719311
IMID BRL;0,010466144119736898;0,09923861323084582;0,1430185060327669;0,41111173236096854;0,3100533841090434;0,48718662958646375;0,2698429681489447;-0,22885773661412734;0,123622165384907;0,4853223471882626;0,06081386249428489;5,0512848435566795
IMID BRL 57 + TD 2045 38 + BTC 5;0,003586343611056364;0,10031969601282453;0,3114387799212912;0,29193514756604033;0,48011191151555743;0,453025284491537;0,09868998132416573;-0,19490019663020786;0,22915628229655916;0,23677024249727818;0,1112749837893614;5,012743064383999
IMID BRL 23.75 + TD 2035 71.25 + BTC 5;0,014300249428209844;0,4432572981298408;0,3454279325299128;0,18165607706536013;0,41666998419337364;0,2866566580822689;0,04021339796935508;-0,08799110895142193;0,22535558669603994;0,08495856662681356;0,11908931004067314;4,98762705914911
S&P 500 BRL;0,004150449119131316;-0,06522147149334467;0,23531489307896725;0,11782367741601019;0,36503552673201;0,525625779378643;0,3823597359525228;-0,2349495839169885;0,17073588863873645;0,59736926643431;0,038967620352370114;4,546613065810193
IMID BRL 47.5 + TD 2045 47.5 + BTC 5;0,002594895764943761;0,09069542352648452;0,3023176168310666;0,27539810971948264;0,5115834314066259;0,41083856124206264;0,04860119276192143;-0,18167809608636176;0,24203771869847723;0,16804881323458876;0,1249989232928359;4,424797315115077
IMID BRL 38 + TD 2045 57 + BTC 5;0,0015970045325406357;0,08075993943662807;0,29117348189169956;0,25627752036409857;0,54289061786459;0,36699284045398106;-0,00046170150874103033;-0,1692506762169892;0,25425837175819477;0,10235622068840922;0,13816832972094506;3,8392573501533827
IMID BRL 23.75 + TD 2045 71.25 + BTC 5;8,811447514256443e-05;0,0652953255852804;0,2706017540097556;0,222891749607542;0,5894617014131089;0,29856005928702545;-0,0719757270680994;-0,15219589767780584;0,27130061441881104;0,0093215529062598;0,15682555800335618;2,990417992012631
TD IPCA 2035;0,019999702827595556;0,5123603362127986;0,1458885175160618;0,16869667549279166;0,39033617676251864;0,07731345445515858;-0,08930655129196297;0,01097805969913157;0,19065575566021487;-0,10028122371740944;0,15125489909686207;2,5134990564776154
IPCA + 6%;;;0,09124190902846685;0,0997021104913709;0,10564402383159988;0,10788381990540485;0,166647181868534;0,12131932477184248;0,10898380766400773;0,11121173539371187;0,09623134636271691;1,5977581838601762
